,date,hour,holiday,weekday,count
215,2018-01-10,2,No,Wednesday,8
216,2018-01-10,3,No,Wednesday,4
217,2018-01-10,4,No,Wednesday,10
218,2018-01-10,5,No,Wednesday,71
219,2018-01-10,6,No,Wednesday,229
220,2018-01-10,7,No,Wednesday,609
221,2018-01-10,8,No,Wednesday,978
222,2018-01-10,9,No,Wednesday,401
223,2018-01-10,10,No,Wednesday,186
224,2018-01-10,11,No,Wednesday,201
225,2018-01-10,12,No,Wednesday,261
226,2018-01-10,13,No,Wednesday,233
227,2018-01-10,14,No,Wednesday,230
228,2018-01-10,15,No,Wednesday,338
229,2018-01-10,16,No,Wednesday,550
230,2018-01-10,17,No,Wednesday,926
231,2018-01-10,18,No,Wednesday,753
232,2018-01-10,19,No,Wednesday,390
233,2018-01-10,20,No,Wednesday,273
234,2018-01-10,21,No,Wednesday,227
235,2018-01-10,22,No,Wednesday,140
236,2018-01-10,23,No,Wednesday,62
237,2018-01-11,0,No,Thursday,21
238,2018-01-11,1,No,Thursday,5
239,2018-01-11,2,No,Thursday,6
240,2018-01-11,3,No,Thursday,3
241,2018-01-11,4,No,Thursday,16
242,2018-01-11,5,No,Thursday,75
243,2018-01-11,6,No,Thursday,265
244,2018-01-11,7,No,Thursday,656
245,2018-01-11,8,No,Thursday,1122
246,2018-01-11,9,No,Thursday,433
247,2018-01-11,10,No,Thursday,225
248,2018-01-11,11,No,Thursday,239
249,2018-01-11,12,No,Thursday,324
250,2018-01-11,13,No,Thursday,330
251,2018-01-11,14,No,Thursday,304
252,2018-01-11,15,No,Thursday,413
253,2018-01-11,16,No,Thursday,625
254,2018-01-11,17,No,Thursday,1083
255,2018-01-11,18,No,Thursday,868
256,2018-01-11,19,No,Thursday,451
257,2018-01-11,20,No,Thursday,306
258,2018-01-11,21,No,Thursday,202
259,2018-01-11,22,No,Thursday,159
260,2018-01-11,23,No,Thursday,79
261,2018-01-12,0,No,Friday,34
262,2018-01-12,1,No,Friday,26
263,2018-01-12,2,No,Friday,15
264,2018-01-12,3,No,Friday,5
265,2018-01-12,4,No,Friday,9
266,2018-01-12,5,No,Friday,43
267,2018-01-12,6,No,Friday,108
268,2018-01-12,7,No,Friday,351
269,2018-01-12,8,No,Friday,761
270,2018-01-12,9,No,Friday,278
271,2018-01-12,10,No,Friday,125
272,2018-01-12,11,No,Friday,186
273,2018-01-12,12,No,Friday,268
274,2018-01-12,13,No,Friday,323
275,2018-01-12,14,No,Friday,347
276,2018-01-12,15,No,Friday,459
277,2018-01-12,16,No,Friday,591
278,2018-01-12,17,No,Friday,610
279,2018-01-12,18,No,Friday,525
280,2018-01-12,19,No,Friday,348
281,2018-01-12,20,No,Friday,128
282,2018-01-12,21,No,Friday,126
283,2018-01-12,22,No,Friday,131
284,2018-01-12,23,No,Friday,53
285,2018-01-13,0,No,Saturday,39
286,2018-01-13,1,No,Saturday,25
287,2018-01-13,2,No,Saturday,30
288,2018-01-13,3,No,Saturday,12
289,2018-01-13,4,No,Saturday,6
290,2018-01-13,5,No,Saturday,7
291,2018-01-13,6,No,Saturday,22
292,2018-01-13,7,No,Saturday,59
